a,Name,zipcode,year,Value
0,ABERDEEN,2359,2015,30.497237569060772
1,ALBURY,2641,2015,29.229226361031518
2,BARGO,2574,2015,45.84530386740332
3,BATHURST,2795,2015,26.820936639118457
4,BERESFIELD,2322,2015,44.94505494505494
5,BRINGELLY,2557,2015,46.487671232876714
6,BULGA,2330,2015,30.008356545961004
7,CAMBERWELL,2330,2015,44.93888888888889
8,CAMDEN,2570,2015,43.76438356164383
9,CAMPBELLTOWN WEST,2560,2015,42.548209366391184
10,CARRINGTON,2294,2015,46.347945205479455
11,CHULLORA,2190,2015,45.672176308539946
12,EARLWOOD,2206,2015,44.42739726027397
13,JERRYS PLAINS,2330,2015,30.977839335180054
14,KEMBLA GRANGE,2530,2015,41.43013698630137
15,LINDFIELD,2070,2015,41.06887052341598
16,LIVERPOOL,2170,2015,47.55431754874652
17,MAISON DIEU,2330,2015,40.86857142857143
18,MAYFIELD,2304,2015,43.89041095890411
19,MERRIWA,2329,2015,26.368715083798882
20,MOUNT THORLEY,2330,2015,39.70391061452514
21,MUSWELLBROOK,2333,2015,44.726027397260275
22,MUSWELLBROOK NW,2333,2015,33.349862258953166
23,NEWCASTLE,2302,2015,50.21917808219178
24,OAKDALE,2570,2015,43.47671232876712
25,PROSPECT,2148,2015,49.47671232876712
26,RANDWICK,2034,2015,43.583561643835615
27,RICHMOND,2753,2015,47.35342465753425
28,ROZELLE,2039,2015,37.47790055248619
29,SINGLETON,2330,2015,41.52876712328767
30,SINGLETON NW,2330,2015,41.870165745856355
31,SINGLETON SOUTH,2330,2015,33.76519337016575
32,ST MARYS,2759,2015,45.45479452054794
33,STOCKTON,2295,2015,72.4958904109589
34,TAMWORTH,2340,2015,28.210526315789473
35,WALLSEND,2287,2015,44.11506849315069
36,WARKWORTH,2330,2015,36.38567493112948
37,WOLLONGONG,2500,2015,42.49041095890411
38,WYBONG,2333,2015,29.56983240223464
39,WYONG,2259,2015,38.76164383561644
40,ABERDEEN,2359,2016,31.225626740947074
41,ALBURY,2641,2016,30.141666666666666
42,BARGO,2574,2016,47.51239669421488
43,BATHURST,2795,2016,29.33529411764706
44,BERESFIELD,2322,2016,44.95890410958904
45,BRINGELLY,2557,2016,49.98082191780822
46,BULGA,2330,2016,32.08011049723757
47,CAMBERWELL,2330,2016,49.70083102493075
48,CAMDEN,2570,2016,45.43454038997214
49,CAMPBELLTOWN WEST,2560,2016,46.14520547945205
50,CARRINGTON,2294,2016,47.99452054794521
51,CHULLORA,2190,2016,52.0986301369863
52,EARLWOOD,2206,2016,46.75
53,JERRYS PLAINS,2330,2016,33.61904761904762
54,KEMBLA GRANGE,2530,2016,46.38904109589041
55,LINDFIELD,2070,2016,50.30958904109589
56,LIVERPOOL,2170,2016,51.00547945205479
57,MAISON DIEU,2330,2016,40.69774011299435
58,MAYFIELD,2304,2016,45.40821917808219
59,MERRIWA,2329,2016,27.058333333333334
60,MOUNT THORLEY,2330,2016,45.55393586005831
61,MUSWELLBROOK,2333,2016,43.28808864265928
62,MUSWELLBROOK NW,2333,2016,33.15151515151515
63,NEWCASTLE,2302,2016,50.107142857142854
64,OAKDALE,2570,2016,47.48209366391185
65,PROSPECT,2148,2016,56.57534246575342
66,RANDWICK,2034,2016,46.52054794520548
67,RICHMOND,2753,2016,52.255494505494504
68,ROZELLE,2039,2016,47.43835616438356
69,SINGLETON,2330,2016,41.53150684931507
70,SINGLETON NW,2330,2016,43.58563535911602
71,SINGLETON SOUTH,2330,2016,35.96666666666667
72,ST MARYS,2759,2016,56.82093663911846
73,STOCKTON,2295,2016,69.3013698630137
74,TAMWORTH,2340,2016,34.12707182320442
75,WALLSEND,2287,2016,44.6958904109589
76,WARKWORTH,2330,2016,37.168539325842694
77,WOLLONGONG,2500,2016,45.52876712328767
78,WYBONG,2333,2016,30.628099173553718
79,WYONG,2259,2016,40.90684931506849
80,ABERDEEN,2359,2017,35.25895316804408
81,ALBURY,2641,2017,35.71910112359551
82,BARGO,2574,2017,47.8027397260274
83,BATHURST,2795,2017,30.216666666666665
84,BERESFIELD,2322,2017,45.19178082191781
85,BRINGELLY,2557,2017,52.09340659340659
86,BULGA,2330,2017,34.40997229916898
87,CAMBERWELL,2330,2017,55.373259052924794
88,CAMDEN,2570,2017,47.49041095890411
89,CAMPBELLTOWN WEST,2560,2017,44.52328767123288
90,CARRINGTON,2294,2017,49.40821917808219
91,CHULLORA,2190,2017,61.778082191780825
92,EARLWOOD,2206,2017,45.26027397260274
93,JERRYS PLAINS,2330,2017,36.11538461538461
94,KEMBLA GRANGE,2530,2017,46.8027397260274
95,LINDFIELD,2070,2017,43.915068493150685
96,LIVERPOOL,2170,2017,51.28493150684932
97,MAISON DIEU,2330,2017,46.169444444444444
98,MAYFIELD,2304,2017,48.35616438356164
99,MERRIWA,2329,2017,28.51123595505618
100,MOUNT THORLEY,2330,2017,50.70637119113574
101,MUSWELLBROOK,2333,2017,48.85753424657534
102,MUSWELLBROOK NW,2333,2017,36.980716253443525
103,NEWCASTLE,2302,2017,49.14246575342466
104,OAKDALE,2570,2017,48.87671232876713
105,PROSPECT,2148,2017,48.93424657534246
106,RANDWICK,2034,2017,47.417582417582416
107,RICHMOND,2753,2017,48.74444444444445
108,ROZELLE,2039,2017,43.25895316804408
109,SINGLETON,2330,2017,44.00824175824176
110,SINGLETON NW,2330,2017,45.43922651933702
111,SINGLETON SOUTH,2330,2017,38.8232044198895
112,ST MARYS,2759,2017,34.74246575342466
113,STOCKTON,2295,2017,71.70523415977961
114,TAMWORTH,2340,2017,35.49171270718232
115,WALLSEND,2287,2017,45.345205479452055
116,WARKWORTH,2330,2017,43.52777777777778
117,WOLLONGONG,2500,2017,45.650137741046834
118,WYBONG,2333,2017,33.26243093922652
119,WYONG,2259,2017,43.21095890410959
120,ABERDEEN,2359,2018,44.650137741046834
121,ALBURY,2641,2018,42.57549857549858
122,BARGO,2574,2018,52.93388429752066
123,BATHURST,2795,2018,40.16804407713499
124,BERESFIELD,2322,2018,48.983561643835614
125,BRINGELLY,2557,2018,54.90958904109589
126,BULGA,2330,2018,42.610027855153206
127,CAMBERWELL,2330,2018,63.027548209366394
128,CAMDEN,2570,2018,51.63013698630137
129,CAMPBELLTOWN WEST,2560,2018,51.027548209366394
130,CARRINGTON,2294,2018,54.61917808219178
131,CHULLORA,2190,2018,56.64383561643836
132,EARLWOOD,2206,2018,47.96978021978022
133,JERRYS PLAINS,2330,2018,48.65428571428571
134,KEMBLA GRANGE,2530,2018,53.21643835616438
135,LINDFIELD,2070,2018,48.271232876712325
136,LIVERPOOL,2170,2018,58.201101928374655
137,MAISON DIEU,2330,2018,55.74246575342466
138,MAYFIELD,2304,2018,53.78021978021978
139,MERRIWA,2329,2018,38.458333333333336
140,MOUNT THORLEY,2330,2018,58.21311475409836
141,MUSWELLBROOK,2333,2018,56.89807162534435
142,MUSWELLBROOK NW,2333,2018,50.00275482093664
143,NEWCASTLE,2302,2018,51.5521978021978
144,OAKDALE,2570,2018,54.28767123287671
145,PROSPECT,2148,2018,54.87671232876713
146,RANDWICK,2034,2018,49.26849315068493
147,RICHMOND,2753,2018,59.464285714285715
148,ROZELLE,2039,2018,44.725190839694655
149,SINGLETON,2330,2018,49.416438356164385
150,SINGLETON NW,2330,2018,53.709944751381215
151,SINGLETON SOUTH,2330,2018,46.05747126436781
152,ST MARYS,2759,2018,39.21643835616438
153,STOCKTON,2295,2018,77.55342465753425
154,TAMWORTH,2340,2018,43.18232044198895
155,WALLSEND,2287,2018,46.30853994490358
156,WARKWORTH,2330,2018,52.78333333333333
157,WOLLONGONG,2500,2018,48.64088397790055
158,WYBONG,2333,2018,43.13296398891967
159,WYONG,2259,2018,43.654794520547945
160,ABERDEEN,2359,2019,58.91184573002755
161,ALBURY,2641,2019,53.03856749311295
162,BARGO,2574,2019,98.53424657534246
163,BATHURST,2795,2019,63.13812154696133
164,BERESFIELD,2322,2019,68.23835616438356
165,BRINGELLY,2557,2019,82.02754820936639
166,BULGA,2330,2019,57.19722222222222
167,CAMBERWELL,2330,2019,81.15977961432507
168,CAMDEN,2570,2019,80.275
169,CAMPBELLTOWN WEST,2560,2019,77.47397260273972
170,CARRINGTON,2294,2019,63.75068493150685
171,CHULLORA,2190,2019,80.2
172,EARLWOOD,2206,2019,67.50137741046832
173,JERRYS PLAINS,2330,2019,64.12222222222222
174,KEMBLA GRANGE,2530,2019,69.58516483516483
175,LINDFIELD,2070,2019,50.5796178343949
176,LIVERPOOL,2170,2019,83.85753424657534
177,MAISON DIEU,2330,2019,76.06060606060606
178,MAYFIELD,2304,2019,62.917808219178085
179,MERRIWA,2329,2019,55.78591549295775
