month,2015,2016,2017,2018,2019
January,39.6549570647931,42.5868028279654,51.1351981351981,53.8171875,65.1186046511628
February,38.7724550898204,48.995057660626,51.9896551724138,50.2569204152249,53.8175618073316
March,50.7682832948422,44.381917381138,38.6602465331279,49.7579365079365,51.2074303405573
April,32.2218675179569,48.7853107344633,37.1477362986497,60.5771428571429,48.4596322941647
May,36.6859567901235,58.447900466563,40.656346749226,55.0308056872038,50.188416988417
June,38.0128307939054,31.6887470071828,38.1851556264964,36.380608974359,43.6655791190865
July,34.3258859784284,33.3428351309707,43.3907692307692,54.0239382239382,40.7442958300551
August,39.8362934362934,38.9088098918083,47.1435185185185,50.8805855161787,49.365873015873
September,36.3906125696102,33.591706539075,56.3103174603175,44.4232331437855,49.0729508196721
October,51.1782407407407,41.7146153846154,45.8375673595073,41.246835443038,72.2598736176935
November,45.825702811245,51.6483253588517,36.5186953062848,59.6937799043062,132.013050570962
December,48.1366120218579,51.9383012820513,50.0930954228084,53.4108949416342,200.317384370016
