a,Name,zipcode,year,Value
0,ABERCROMBIE,2795,2015,0.006475695138032058
1,ABERCROMBIE RIVER,2795,2015,0.006475695138032058
2,ABERDEEN,2359,2015,0.006787141582459514
3,AIRDS,2560,2015,0.002929084029597319
4,ALISON,2259,2015,0.0010555695225563956
5,AMBARVALE,2560,2015,0.002929084029597319
6,APPIN,2560,2015,0.002929084029597319
7,APPLEBY,2340,2015,0.018664402366800503
8,APPLETREE FLAT,2330,2015,0.007943511578139807
9,ARKELL,2795,2015,0.006475695138032058
10,ARKSTONE,2795,2015,0.006475695138032058
11,ARNDELL PARK,2148,2015,0.003067284355800647
12,AVON,2574,2015,0.006864343979403672
13,BAERAMI,2333,2015,0.011324603429789816
14,BAERAMI CREEK,2333,2015,0.011324603429789816
15,BAKERS CREEK,2359,2015,0.006787141582459514
16,BALD RIDGE,2795,2015,0.006475695138032058
17,BALLYROE,2795,2015,0.006475695138032058
18,BARGO,2574,2015,0.006864343979403672
19,BARRY,2340,2015,0.018664402366800503
20,BATHAMPTON,2795,2015,0.006475695138032058
21,BATHURST,2795,2015,0.006475695138032058
22,BECTIVE,2340,2015,0.018664402366800503
23,BELIMBLA PARK,2570,2015,0.004019931798889708
24,BENGALLA,2333,2015,0.011324603429789816
25,BERESFIELD,2322,2015,0.0013656145334033482
26,BICKLEY VALE,2570,2015,0.004019931798889708
27,BIG RIDGE,2330,2015,0.007943511578139807
28,BILLYWILLINGA,2795,2015,0.006475695138032058
29,BIRMINGHAM GARDENS,2287,2015,0.004116747713059974
30,BITHRAMERE,2340,2015,0.018664402366800503
31,BLACK HILL,2322,2015,0.0013656145334033482
32,BLACKTOWN,2148,2015,0.003067284355800647
33,BLAIR ATHOL,2560,2015,0.002929084029597319
34,BORAMBIL,2329,2015,0.029787391040092582
35,BOWLING ALLEY POINT,2340,2015,0.018664402366800503
36,BOWMANS CREEK,2330,2015,0.007943511578139807
37,BRADBURY,2560,2015,0.002929084029597319
38,BREWONGLE,2795,2015,0.006475695138032058
39,BRIDGMAN,2330,2015,0.007943511578139807
40,BROKE,2330,2015,0.007943511578139807
41,BROWNLOW HILL,2570,2015,0.004019931798889708
42,BRUINBUN,2795,2015,0.006475695138032058
43,BULGA,2330,2015,0.007943511578139807
44,BUNDARRA,2359,2015,0.006787141582459514
45,BURRAGA,2795,2015,0.006475695138032058
46,BUSHELLS RIDGE,2259,2015,0.0010555695225563956
47,CALALA,2340,2015,0.018664402366800503
48,CALOOLA,2795,2015,0.006475695138032058
49,CAMBERWELL,2330,2015,0.007943511578139807
50,CAMDEN,2570,2015,0.004019931798889708
51,CAMDEN PARK,2570,2015,0.004019931798889708
52,CAMDEN SOUTH,2570,2015,0.004019931798889708
53,CAMERONS CREEK,2359,2015,0.006787141582459514
54,CAMPBELLTOWN,2560,2015,0.002929084029597319
55,CARROLL,2340,2015,0.018664402366800503
56,CARROWBROOK,2330,2015,0.007943511578139807
57,CASSILIS,2329,2015,0.029787391040092582
58,CASTLE ROCK,2333,2015,0.011324603429789816
59,CASULA,2170,2015,0.0017206802190181433
60,CATARACT,2560,2015,0.002929084029597319
61,CAWDOR,2570,2015,0.004019931798889708
62,CEDAR BRUSH CREEK,2259,2015,0.0010555695225563956
63,CHAIN VALLEY BAY,2259,2015,0.0010555695225563956
64,CHARLES STURT UNIVERSITY,2795,2015,0.006475695138032058
65,CHARLTON,2795,2015,0.006475695138032058
66,CHIPPING NORTON,2170,2015,0.0017206802190181433
67,CHISHOLM,2322,2015,0.0013656145334033482
68,CHULLORA,2190,2015,0.0012313763834690952
69,CLEAR CREEK,2795,2015,0.006475695138032058
70,CLEMTON PARK,2206,2015,0.0019229864634370498
71,CLYDESDALE,2330,2015,0.007943511578139807
72,COBBITTY,2570,2015,0.004019931798889708
73,COLO,2795,2015,0.006475695138032058
74,COMBO,2330,2015,0.007943511578139807
75,CONISTON,2500,2015,0.0032141006776780718
76,COPPERHANNIA,2795,2015,0.006475695138032058
77,COW FLAT,2795,2015,0.006475695138032058
78,CRANGAN BAY,2259,2015,0.0010555695225563956
79,CRUDINE,2795,2015,0.006475695138032058
80,CURRAGH,2795,2015,0.006475695138032058
81,DARK CORNER,2795,2015,0.006475695138032058
82,DARLINGTON,2330,2015,0.007943511578139807
83,DARUKA,2340,2015,0.018664402366800503
84,DOG ROCKS,2795,2015,0.006475695138032058
85,DOORALONG,2259,2015,0.0010555695225563956
86,DOYLES CREEK,2330,2015,0.007943511578139807
87,DUNCANS CREEK,2340,2015,0.018664402366800503
88,DUNGOWAN,2340,2015,0.018664402366800503
89,DUNKELD,2795,2015,0.006475695138032058
90,DUNOLLY,2330,2015,0.007943511578139807
91,DURAL,2330,2015,0.007943511578139807
92,DURAMANA,2795,2015,0.006475695138032058
93,DURREN DURREN,2259,2015,0.0010555695225563956
94,DYRRING,2330,2015,0.007943511578139807
95,EARLWOOD,2206,2015,0.0019229864634370498
96,EAST TAMWORTH,2340,2015,0.018664402366800503
97,EDDERTON,2333,2015,0.011324603429789816
98,EGLINTON,2795,2015,0.006475695138032058
99,ELDERSLIE,2570,2015,0.004019931798889708
100,ELERMORE VALE,2287,2015,0.004116747713059974
101,ELLIS LANE,2570,2015,0.004019931798889708
102,ENGLORIE PARK,2560,2015,0.002929084029597319
103,EVANS PLAINS,2795,2015,0.006475695138032058
104,FALBROOK,2330,2015,0.007943511578139807
105,FERN GULLY,2330,2015,0.007943511578139807
106,FITZGERALDS VALLEY,2795,2015,0.006475695138032058
107,FLETCHER,2287,2015,0.004116747713059974
108,FORDWICH,2330,2015,0.007943511578139807
109,FOREST GROVE,2795,2015,0.006475695138032058
110,FOSTERS VALLEY,2795,2015,0.006475695138032058
111,FRAZER PARK,2259,2015,0.0010555695225563956
112,FREEMANS,2259,2015,0.0010555695225563956
113,FREEMANTLE,2795,2015,0.006475695138032058
114,GARLAND VALLEY,2330,2015,0.007943511578139807
115,GAROO,2340,2015,0.018664402366800503
116,GEMALLA,2795,2015,0.006475695138032058
117,GEORGES PLAINS,2795,2015,0.006475695138032058
118,GIDLEY,2340,2015,0.018664402366800503
119,GILEAD,2560,2015,0.002929084029597319
120,GILMANDYKE,2795,2015,0.006475695138032058
121,GLANMIRE,2795,2015,0.006475695138032058
122,GLEN ALPINE,2560,2015,0.002929084029597319
123,GLENDON,2330,2015,0.007943511578139807
124,GLENDON BROOK,2330,2015,0.007943511578139807
125,GLENMORE,2570,2015,0.004019931798889708
126,GLENNIES CREEK,2330,2015,0.007943511578139807
127,GLENRIDDING,2330,2015,0.007943511578139807
128,GOONOO GOONOO,2340,2015,0.018664402366800503
129,GOORANGOOLA,2330,2015,0.007943511578139807
130,GORMANS HILL,2795,2015,0.006475695138032058
131,GOULDSVILLE,2330,2015,0.007943511578139807
132,GOWAN,2795,2015,0.006475695138032058
133,GOWRIE,2340,2015,0.018664402366800503
134,GRASMERE,2570,2015,0.004019931798889708
135,GREENACRE,2190,2015,0.0012313763834690952
136,GREENLANDS,2330,2015,0.007943511578139807
137,GUNGAL,2333,2015,0.011324603429789816
138,GWANDALAN,2259,2015,0.0010555695225563956
139,GWYNNEVILLE,2500,2015,0.0032141006776780718
140,HALLORAN,2259,2015,0.0010555695225563956
141,HALLSVILLE,2340,2015,0.018664402366800503
142,HAMBLEDON HILL,2330,2015,0.007943511578139807
143,HAMLYN TERRACE,2259,2015,0.0010555695225563956
144,HAMMONDVILLE,2170,2015,0.0017206802190181433
145,HANGING ROCK,2340,2015,0.018664402366800503
146,HEBDEN,2330,2015,0.007943511578139807
147,HEXHAM,2322,2015,0.0013656145334033482
148,HILLVUE,2340,2015,0.018664402366800503
149,HOBBYS YARDS,2795,2015,0.006475695138032058
150,HOWES VALLEY,2330,2015,0.007943511578139807
151,HOWICK,2330,2015,0.007943511578139807
152,HUNTERVIEW,2330,2015,0.007943511578139807
153,HUNTINGWOOD,2148,2015,0.003067284355800647
154,ISABELLA,2795,2015,0.006475695138032058
155,JEREMY,2795,2015,0.006475695138032058
156,JERRYS PLAINS,2330,2015,0.007943511578139807
157,JILLIBY,2259,2015,0.0010555695225563956
